,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
145,"[0.0, 1103.0, 3.8382377056647776, 11.105588517594443, 45116, 0.0, 1.0, 4.0, 16.0]","[-2, 14608, 110.00249002490025, 401.22746495394921, 0, 0.0, 3, 38.0, 544.0]","[0.0, 24355.0, 21.2322262847857, 178.27781378674192, 21231, 2.0, 6.0, 18.0, 73.0]","[0.0, 158.0, 7.264332026344789, 8.6203273354250598, 21957, 2.0, 4.0, 9.0, 25.0]","[0.0, 1768589.0, 19193.869080436125, 71859.138278628889, 2779, 272.0, 2668.0, 10380.75, 66016.400000000023]","[0.0, 17626.0, 116.02535222220781, 313.40026467294825, 22846, 8.0, 32.0, 101.0, 479.0]","[0.0, 7867.0, 16.477714727612838, 65.812473055205444, 4308, 1.0, 3.0, 12.0, 67.0]","[0.0, 870.0, 12.669888148548333, 14.075580756085943, 45, 2.0, 7.0, 19.0, 42.0]","[0.0, 11486.0, 102.38466522452477, 215.60213886940858, 4308, 10.0, 37.0, 104.0, 418.0]","[0.0, 8.0, 0.58608312227830106, 0.66123360491333494, 45116, 0.0, 1.0, 1.0, 2.0]","[0.0, 106.0, 2.7032322788977021, 5.1284416019148127, 4308, 1.0, 1.0, 3.0, 10.0]","[0.0, 138.0, 0.77241079199303742, 3.9296752700468662, 77019, 0.0, 0.0, 0.0, 3.0]","[0.0, 290.0, 8.0376335819174294, 10.785673611148058, 21957, 2.0, 4.0, 10.0, 29.0]","['05db9164', 0.50081, 99999, 536]","['38a947a1', 0.12044, 99999, 500]","['d032c263', 0.02366, 96340, 44999]","['c18be181', 0.0363, 96340, 24864]","['25c83c98', 0.66737, 99999, 133]","['7e0ccccf', 0.41208, 86465, 11]","['1c86e0eb', 0.02752, 99999, 7641]","['0b153874', 0.59133, 99999, 266]","['a73ee510', 0.89457, 99999, 3]","['3b08e48b', 0.20745, 99999, 11647]","['755e4a50', 0.04127, 99999, 3765]","['dfbb09fb', 0.02366, 96340, 41764]","['5978055e', 0.04127, 99999, 2809]","['b28479f6', 0.35815, 99999, 25]","['d345b1a0', 0.01251, 99999, 5024]","['84898b2a', 0.02366, 96340, 35212]","['e5ba7672', 0.46566, 99999, 10]","['e88ffc9d', 0.03835, 99999, 2463]","['21ddcdc9', 0.34646, 57445, 1261]","['b1252a9d', 0.19853, 57445, 3]","['0014c32a', 0.02366, 96340, 38888]","['ad3062eb', 0.1168, 22131, 9]","['32c7478e', 0.4549, 99999, 14]","['3fdb382b', 0.0505, 96340, 11724]","['001f3601', 0.14553, 57445, 49]","['49d68486', 0.03941, 57445, 9027]"
146,"[0.0, 590.0, 3.8066565366237666, 9.9373095365212567, 45376, 0.0, 1.0, 4.0, 16.0]","[-2, 17641, 109.28956289562896, 400.18256840588276, 0, 0.0, 3, 37.0, 539.0]","[0.0, 49889.0, 21.654886845017746, 228.58147022615435, 21390, 2.0, 6.0, 18.0, 75.0]","[0.0, 118.0, 7.2449323892538535, 8.5624441546119989, 21757, 2.0, 4.0, 9.0, 25.0]","[0.0, 2083361.0, 18681.202875876195, 66824.47771159769, 2846, 254.0, 2664.0, 10452.0, 67579.199999999953]","[0.0, 27603.0, 116.99228180507011, 335.29608718069215, 23038, 8.0, 32.0, 101.0, 480.0]","[0.0, 10625.0, 16.492123470487872, 74.341292896611435, 4462, 1.0, 3.0, 11.0, 65.0]","[0.0, 567.0, 12.611126676005604, 13.836217229603253, 59, 2.0, 7.0, 19.0, 42.0]","[0.0, 7028.0, 101.32256612621288, 211.68766363881065, 4462, 10.0, 36.0, 102.0, 414.0]","[0.0, 6.0, 0.60220053823480946, 0.66993714576095409, 45376, 0.0, 1.0, 1.0, 2.0]","[0.0, 110.0, 2.7064488104085327, 5.2186455119102293, 4462, 1.0, 1.0, 3.0, 10.0]","[0.0, 120.0, 0.73914584440900233, 3.550942523036476, 77427, 0.0, 0.0, 0.0, 3.0]","[0.0, 676.0, 8.0562357812939336, 11.053919701381508, 21757, 2.0, 4.0, 10.0, 29.0]","['05db9164', 0.50138, 99999, 543]","['38a947a1', 0.12138, 99999, 501]","['d032c263', 0.02338, 96339, 44471]","['c18be181', 0.03644, 96339, 24342]","['25c83c98', 0.66772, 99999, 133]","['7e0ccccf', 0.41279, 86380, 11]","['1c86e0eb', 0.02769, 99999, 7590]","['0b153874', 0.59484, 99999, 242]","['a73ee510', 0.89258, 99999, 3]","['3b08e48b', 0.20963, 99999, 11521]","['755e4a50', 0.04306, 99999, 3768]","['dfbb09fb', 0.02338, 96339, 41165]","['5978055e', 0.04306, 99999, 2804]","['b28479f6', 0.35849, 99999, 25]","['2d0bb053', 0.01314, 99999, 4975]","['84898b2a', 0.02338, 96339, 34734]","['e5ba7672', 0.46624, 99999, 10]","['e88ffc9d', 0.0382, 99999, 2424]","['21ddcdc9', 0.34565, 57061, 1232]","['b1252a9d', 0.19711, 57061, 3]","['0014c32a', 0.02338, 96339, 38399]","['ad3062eb', 0.11761, 22255, 10]","['32c7478e', 0.45521, 99999, 14]","['3fdb382b', 0.05066, 96339, 11397]","['001f3601', 0.15298, 57061, 47]","['49d68486', 0.0398, 57061, 8833]"
147,"[0.0, 415.0, 3.8386807966380414, 10.025349945019343, 45269, 0.0, 1.0, 4.0, 17.0]","[-2, 11572, 108.69204692046921, 393.41376366827592, 0, 0.0, 3, 38.0, 534.0]","[0.0, 31359.0, 22.603534937898029, 245.74772966314094, 21016, 2.0, 6.0, 18.0, 75.0]","[0.0, 143.0, 7.3382109472504524, 8.6270026407298488, 21477, 2.0, 4.0, 10.0, 25.0]","[0.0, 2076022.0, 18899.222821610936, 69975.34818296053, 2863, 247.0, 2652.0, 10330.5, 64321.75]","[0.0, 13362.0, 113.72617517622776, 302.83925762289778, 22968, 8.0, 31.0, 100.0, 471.0]","[0.0, 5953.0, 16.601743852138046, 68.374928457258349, 4234, 1.0, 3.0, 11.0, 66.0]","[0.0, 570.0, 12.633406703351676, 13.754935028976956, 49, 2.0, 7.0, 19.0, 42.0]","[0.0, 11697.0, 102.50935101550671, 221.31308659666956, 4234, 10.0, 36.0, 103.0, 420.0]","[0.0, 8.0, 0.60445824958889094, 0.67404392939362923, 45269, 0.0, 1.0, 1.0, 2.0]","[0.0, 123.0, 2.6870046467916255, 5.137772600436346, 4234, 1.0, 1.0, 3.0, 10.0]","[0.0, 201.0, 0.74998901533459295, 3.562120173058041, 77240, 0.0, 0.0, 0.0, 3.0]","[0.0, 466.0, 8.1582359084078355, 11.416099953553076, 21477, 2.0, 4.0, 10.0, 29.0]","['05db9164', 0.49993, 99999, 546]","['38a947a1', 0.12167, 99999, 501]","['d032c263', 0.02326, 96310, 45074]","['c18be181', 0.03625, 96310, 24829]","['25c83c98', 0.67209, 99999, 132]","['7e0ccccf', 0.41189, 86541, 12]","['1c86e0eb', 0.02666, 99999, 7578]","['0b153874', 0.59548, 99999, 240]","['a73ee510', 0.89328, 99999, 3]","['3b08e48b', 0.21126, 99999, 11606]","['755e4a50', 0.04149, 99999, 3767]","['dfbb09fb', 0.02326, 96310, 41669]","['5978055e', 0.04149, 99999, 2798]","['b28479f6', 0.35742, 99999, 26]","['2d0bb053', 0.01415, 99999, 5022]","['84898b2a', 0.02327, 96310, 35270]","['e5ba7672', 0.46303, 99999, 10]","['e88ffc9d', 0.03823, 99999, 2466]","['21ddcdc9', 0.34872, 57528, 1242]","['b1252a9d', 0.19643, 57528, 3]","['0014c32a', 0.02326, 96310, 38975]","['ad3062eb', 0.11566, 22141, 9]","['32c7478e', 0.45597, 99999, 14]","['3fdb382b', 0.0519, 96310, 11677]","['001f3601', 0.15508, 57528, 55]","['49d68486', 0.04007, 57528, 9054]"
148,"[0.0, 481.0, 3.8348896512502524, 9.9438745717964174, 45490, 0.0, 1.0, 4.0, 16.0]","[-2, 16325, 111.48535485354853, 407.82158855556395, 0, 0.0, 3, 38.0, 556.0]","[0.0, 31380.0, 21.435915975340588, 192.48703124816052, 21165, 2.0, 6.0, 18.0, 75.0]","[0.0, 195.0, 7.2779870691849515, 8.6682254511354131, 21427, 2.0, 4.0, 9.0, 25.0]","[0.0, 2401771.0, 19003.706811888118, 69781.753266143947, 2860, 240.0, 2666.0, 11023.5, 68808.299999999886]","[0.0, 57519.0, 118.54675466120375, 405.63982722543079, 22873, 8.0, 32.0, 101.0, 489.0]","[0.0, 9078.0, 16.472189163795804, 67.288426982092375, 4209, 1.0, 3.0, 11.0, 66.0]","[0.0, 637.0, 12.547845836751845, 13.70256126108908, 53, 2.0, 7.0, 19.0, 42.0]","[0.0, 9868.0, 102.07938198141768, 219.84767153220022, 4209, 10.0, 36.0, 102.0, 418.0]","[0.0, 6.0, 0.61468748280100538, 0.67699571930453006, 45490, 0.0, 1.0, 1.0, 2.0]","[0.0, 122.0, 2.6889654452448064, 5.2197520522004375, 4209, 1.0, 1.0, 3.0, 10.0]","[0.0, 204.0, 0.80527124972545572, 4.4406993316308041, 77234, 0.0, 0.0, 0.0, 3.0]","[0.0, 561.0, 8.1319935855011956, 11.777670459756211, 21427, 2.0, 4.0, 10.0, 29.0]","['05db9164', 0.50464, 99999, 496]","['38a947a1', 0.12047, 99999, 503]","['d032c263', 0.02236, 96370, 44880]","['c18be181', 0.0343, 96370, 24649]","['25c83c98', 0.67239, 99999, 140]","['7e0ccccf', 0.41194, 86552, 13]","['1c86e0eb', 0.02529, 99999, 7610]","['0b153874', 0.59474, 99999, 271]","['a73ee510', 0.89174, 99999, 3]","['3b08e48b', 0.21148, 99999, 11610]","['755e4a50', 0.03954, 99999, 3732]","['dfbb09fb', 0.02236, 96370, 41628]","['5978055e', 0.03954, 99999, 2791]","['b28479f6', 0.35754, 99999, 25]","['2d0bb053', 0.013, 99999, 5032]","['84898b2a', 0.02236, 96370, 35106]","['e5ba7672', 0.46417, 99999, 10]","['e88ffc9d', 0.03921, 99999, 2494]","['21ddcdc9', 0.35487, 57913, 1238]","['b1252a9d', 0.19852, 57913, 3]","['0014c32a', 0.02236, 96370, 38851]","['ad3062eb', 0.11524, 22080, 13]","['32c7478e', 0.45205, 99999, 14]","['3fdb382b', 0.04887, 96370, 11719]","['001f3601', 0.15479, 57913, 46]","['49d68486', 0.03812, 57913, 8976]"
149,"[0.0, 658.0, 3.8722702772787048, 10.242017635189701, 46010, 0.0, 1.0, 4.0, 17.0]","[-2, 13705, 112.72361723617236, 405.72057534347067, 0, 0.0, 3, 38.0, 577.0]","[0.0, 24131.0, 21.992018142887911, 184.40777075382636, 21070, 2.0, 6.0, 18.0, 76.0]","[0.0, 171.0, 7.3057499394541958, 8.6364087686515401, 21546, 2.0, 4.0, 10.0, 25.0]","[0.0, 1729625.0, 18969.312515453723, 69654.02143363998, 2935, 240.0, 2694.0, 10782.0, 66209.449999999677]","[0.0, 116357.0, 117.51807978433862, 620.60181096849215, 22841, 8.0, 31.0, 99.0, 465.0]","[0.0, 5788.0, 16.302918792339216, 62.391442840518096, 4343, 1.0, 3.0, 11.0, 67.0]","[0.0, 763.0, 12.542378308069438, 13.967257238292264, 54, 2.0, 7.0, 19.0, 42.0]","[0.0, 7557.0, 100.61096010705026, 210.1216096446966, 4343, 9.0, 36.0, 102.0, 408.0]","[0.0, 6.0, 0.62899849969438215, 0.68762222941523887, 46010, 0.0, 1.0, 1.0, 2.0]","[0.0, 118.0, 2.6946976666387892, 5.1390512135032616, 4343, 1.0, 1.0, 3.0, 10.0]","[0.0, 129.0, 0.80195956729916651, 3.7733994898974097, 77443, 0.0, 0.0, 0.0, 3.0]","[0.0, 731.0, 8.1021758250162517, 11.394062898454845, 21546, 2.0, 4.0, 10.0, 29.0]","['05db9164', 0.4998, 99999, 537]","['38a947a1', 0.11947, 99999, 496]","['d032c263', 0.0222, 96326, 45084]","['c18be181', 0.03423, 96326, 24727]","['25c83c98', 0.6728, 99999, 138]","['7e0ccccf', 0.41445, 86661, 11]","['1c86e0eb', 0.02574, 99999, 7614]","['0b153874', 0.59382, 99999, 246]","['a73ee510', 0.89195, 99999, 3]","['3b08e48b', 0.21053, 99999, 11646]","['755e4a50', 0.03928, 99999, 3765]","['dfbb09fb', 0.0222, 96326, 41734]","['5978055e', 0.03928, 99999, 2801]","['b28479f6', 0.35425, 99999, 26]","['2d0bb053', 0.01349, 99999, 5075]","['84898b2a', 0.0222, 96326, 35083]","['e5ba7672', 0.46166, 99999, 9]","['e88ffc9d', 0.0376, 99999, 2505]","['21ddcdc9', 0.35396, 58144, 1249]","['b1252a9d', 0.20004, 58144, 3]","['0014c32a', 0.0222, 96326, 38905]","['ad3062eb', 0.11556, 22146, 9]","['32c7478e', 0.45143, 99999, 14]","['3fdb382b', 0.05043, 96326, 11615]","['001f3601', 0.15495, 58144, 50]","['49d68486', 0.0394, 58144, 8968]"
150,"[0.0, 361.0, 3.8682564937467623, 10.147886930588987, 45947, 0.0, 1.0, 4.0, 16.0]","[-2, 9375, 111.0119601196012, 398.50767687000393, 0, 0.0, 3, 37.0, 559.09999999999127]","[0.0, 24137.0, 21.526435294416114, 146.57921010806524, 21165, 2.0, 6.0, 18.0, 77.0]","[0.0, 159.0, 7.2907388535031847, 8.6491958874696344, 21499, 2.0, 4.0, 10.0, 25.0]","[0.0, 2281006.0, 19033.797072034948, 72138.81134316005, 2935, 240.0, 2692.0, 10785.0, 63279.249999999956]","[0.0, 69997.0, 116.56601662612044, 414.72045103140255, 23132, 8.0, 31.0, 100.0, 477.0]","[0.0, 4394.0, 16.21812340407719, 60.678392606656082, 4443, 1.0, 3.0, 11.0, 65.0]","[0.0, 665.0, 12.48522628350727, 14.088151048524985, 58, 2.0, 7.0, 19.0, 41.0]","[0.0, 6853.0, 99.806814852023948, 207.13023195419962, 4443, 9.0, 35.0, 101.0, 408.0]","[0.0, 6.0, 0.62878339376896319, 0.67652703356499899, 45947, 0.0, 1.0, 1.0, 2.0]","[0.0, 129.0, 2.6610783205659509, 5.1658179490093374, 4443, 1.0, 1.0, 3.0, 10.0]","[0.0, 128.0, 0.80118153955492377, 3.9121601228825145, 77486, 0.0, 0.0, 0.0, 3.0]","[0.0, 554.0, 8.1906751592356688, 11.621712075769135, 21499, 2.0, 4.0, 10.0, 29.0]","['05db9164', 0.4987, 99999, 524]","['38a947a1', 0.11937, 99999, 498]","['d032c263', 0.02423, 96250, 44755]","['c18be181', 0.03816, 96250, 24879]","['25c83c98', 0.66797, 99999, 141]","['7e0ccccf', 0.41472, 86451, 10]","['1c86e0eb', 0.02641, 99999, 7679]","['0b153874', 0.59401, 99999, 242]","['a73ee510', 0.89242, 99999, 3]","['3b08e48b', 0.21491, 99999, 11567]","['755e4a50', 0.04011, 99999, 3777]","['dfbb09fb', 0.02423, 96250, 41651]","['5978055e', 0.04011, 99999, 2803]","['b28479f6', 0.35636, 99999, 26]","['d345b1a0', 0.01244, 99999, 5024]","['84898b2a', 0.02423, 96250, 35196]","['e5ba7672', 0.46099, 99999, 10]","['e88ffc9d', 0.0381, 99999, 2440]","['21ddcdc9', 0.35827, 58223, 1254]","['b1252a9d', 0.19808, 58223, 3]","['0014c32a', 0.02423, 96250, 38959]","['ad3062eb', 0.11388, 21813, 11]","['32c7478e', 0.45288, 99999, 15]","['3fdb382b', 0.05066, 96250, 11735]","['001f3601', 0.15827, 58223, 53]","['49d68486', 0.0392, 58223, 8968]"
151,"[0.0, 1003.0, 3.8795888669896295, 11.415331351707698, 45710, 0.0, 1.0, 4.0, 16.0]","[-2, 11894, 110.05009050090501, 402.85461464128417, 0, 0.0, 3, 38.0, 546.0]","[0.0, 19905.0, 23.99211971964387, 230.66836467545065, 20814, 2.0, 6.0, 18.0, 79.0]","[0.0, 129.0, 7.3919465803318491, 8.6737660357256612, 20927, 2.0, 4.0, 10.0, 26.0]","[0.0, 1715351.0, 19185.87727801274, 70844.568000639614, 2820, 228.0, 2685.0, 10813.5, 66272.199999999895]","[0.0, 32682.0, 114.18578543861479, 328.28192376572486, 23303, 8.0, 32.0, 101.0, 477.0]","[0.0, 4967.0, 16.342881653833278, 63.812587062482997, 4415, 1.0, 3.0, 11.0, 65.0]","[0.0, 594.0, 12.64014567866648, 13.823969797866456, 53, 2.0, 7.0, 19.0, 41.75]","[0.0, 9335.0, 99.254310344827587, 209.28641922271089, 4415, 9.0, 36.0, 101.0, 404.0]","[0.0, 6.0, 0.6376245648289709, 0.68425607922813558, 45710, 0.0, 1.0, 1.0, 2.0]","[0.0, 130.0, 2.6616483930364914, 5.1790416399818309, 4415, 1.0, 1.0, 3.0, 10.0]","[0.0, 133.0, 0.77736068284399162, 3.8502701717090377, 77622, 0.0, 0.0, 0.0, 3.0]","[0.0, 264.0, 8.25201082557669, 11.158482524257929, 20927, 2.0, 4.0, 10.0, 29.0]","['05db9164', 0.49977, 99999, 517]","['38a947a1', 0.11713, 99999, 499]","['d032c263', 0.0238, 96243, 44111]","['c18be181', 0.03855, 96243, 24324]","['25c83c98', 0.67033, 99999, 143]","['7e0ccccf', 0.41543, 86573, 14]","['1c86e0eb', 0.02595, 99999, 7537]","['0b153874', 0.59633, 99999, 252]","['a73ee510', 0.89331, 99999, 3]","['3b08e48b', 0.21401, 99999, 11614]","['755e4a50', 0.04037, 99999, 3724]","['dfbb09fb', 0.0238, 96243, 40983]","['5978055e', 0.04037, 99999, 2805]","['b28479f6', 0.3574, 99999, 26]","['2d0bb053', 0.0121, 99999, 4983]","['84898b2a', 0.0238, 96243, 34581]","['e5ba7672', 0.45601, 99999, 10]","['e88ffc9d', 0.0367, 99999, 2439]","['21ddcdc9', 0.36449, 58334, 1255]","['b1252a9d', 0.20094, 58334, 3]","['0014c32a', 0.0238, 96243, 38340]","['ad3062eb', 0.11547, 22225, 9]","['32c7478e', 0.45513, 99999, 14]","['3fdb382b', 0.04964, 96243, 11509]","['001f3601', 0.16082, 58334, 49]","['49d68486', 0.03833, 58334, 8836]"
152,"[0.0, 462.0, 3.7711952487008165, 9.4592675523784511, 46119, 0.0, 1.0, 4.0, 16.0]","[-2, 11257, 110.0880208802088, 397.03615017589146, 0, 0.0, 3, 38.0, 551.0]","[0.0, 16134.0, 22.92550382209868, 171.83881252139005, 20854, 2.0, 6.0, 19.0, 82.0]","[0.0, 111.0, 7.3996354984053054, 8.656705007632846, 20987, 2.0, 4.0, 10.0, 26.0]","[0.0, 2512370.0, 19160.675329357353, 71556.637407229311, 2916, 231.0, 2714.0, 10484.0, 67292.199999999895]","[0.0, 20968.0, 118.31788734226616, 350.91891914386201, 23129, 8.0, 32.0, 102.0, 483.0]","[0.0, 4450.0, 15.995732753210895, 64.92753160375743, 4387, 1.0, 3.0, 11.0, 63.0]","[0.0, 646.0, 12.598535326250076, 13.790656470686487, 45, 2.0, 7.0, 19.0, 41.0]","[0.0, 9543.0, 99.083702882483365, 213.87987645741416, 4387, 9.0, 35.0, 100.0, 402.0]","[0.0, 5.0, 0.64417223459539719, 0.68663318908631976, 46119, 0.0, 1.0, 1.0, 2.0]","[0.0, 156.0, 2.6209889971970046, 5.0451345840740336, 4387, 1.0, 1.0, 3.0, 10.0]","[0.0, 152.0, 0.82960644007155637, 4.1550347977401181, 77639, 0.0, 0.0, 0.0, 3.0]","[0.0, 1004.0, 8.3359869386928569, 12.079302598316856, 20987, 2.0, 4.0, 11.0, 29.0]","['05db9164', 0.50282, 99999, 519]","['38a947a1', 0.11955, 99999, 506]","['d032c263', 0.0236, 96222, 44447]","['c18be181', 0.03714, 96222, 24499]","['25c83c98', 0.67134, 99999, 133]","['7e0ccccf', 0.4144, 86420, 11]","['1c86e0eb', 0.02412, 99999, 7667]","['0b153874', 0.59327, 99999, 244]","['a73ee510', 0.89297, 99999, 3]","['3b08e48b', 0.21622, 99999, 11553]","['755e4a50', 0.03757, 99999, 3819]","['dfbb09fb', 0.0236, 96222, 41261]","['5978055e', 0.03757, 99999, 2831]","['b28479f6', 0.35411, 99999, 26]","['2d0bb053', 0.01245, 99999, 5015]","['84898b2a', 0.0236, 96222, 34765]","['e5ba7672', 0.45712, 99999, 10]","['e88ffc9d', 0.03753, 99999, 2458]","['21ddcdc9', 0.36264, 58211, 1256]","['b1252a9d', 0.20286, 58211, 3]","['0014c32a', 0.0236, 96222, 38574]","['ad3062eb', 0.11573, 22187, 9]","['32c7478e', 0.45258, 99999, 14]","['3fdb382b', 0.04929, 96222, 11535]","['001f3601', 0.16076, 58211, 45]","['49d68486', 0.03877, 58211, 8839]"
153,"[0.0, 302.0, 3.8067442943642291, 9.7596639645341661, 46324, 0.0, 1.0, 4.0, 16.0]","[-2, 8730, 110.31912319123191, 400.09249940678575, 0, 0.0, 3, 38.0, 552.0]","[0.0, 24938.0, 21.700841100250056, 117.88677959861354, 20817, 2.0, 6.0, 18.0, 80.0]","[0.0, 128.0, 7.3267118781314844, 8.6442432317670903, 20963, 2.0, 4.0, 10.0, 25.0]","[0.0, 2066149.0, 18949.258975625824, 70131.235853512058, 2847, 234.0, 2731.0, 10572.25, 65922.349999999991]","[0.0, 35471.0, 115.3755081300813, 354.77624571696578, 23247, 8.0, 32.0, 100.0, 474.0]","[0.0, 10008.0, 15.930408788268373, 72.46383978339145, 4326, 1.0, 3.0, 11.0, 63.0]","[0.0, 1105.0, 12.655218296050261, 14.122938210727774, 43, 2.0, 7.0, 19.0, 42.0]","[0.0, 12012.0, 100.0437532010076, 214.5795983665071, 4326, 9.0, 36.0, 101.0, 405.0]","[0.0, 7.0, 0.6526688402421984, 0.69379022899870035, 46324, 0.0, 1.0, 1.0, 2.0]","[0.0, 136.0, 2.6269480417672697, 5.0985463819226018, 4326, 1.0, 1.0, 3.0, 10.0]","[0.0, 205.0, 0.83966113723055091, 4.8226813818966372, 77453, 0.0, 0.0, 0.0, 3.0]","[0.0, 551.0, 8.2892985474973422, 11.904695343614904, 20963, 2.0, 4.0, 10.0, 30.0]","['05db9164', 0.50237, 99999, 529]","['38a947a1', 0.11705, 99999, 492]","['d032c263', 0.02254, 96218, 44560]","['c18be181', 0.03707, 96218, 24516]","['25c83c98', 0.6721, 99999, 134]","['7e0ccccf', 0.41229, 86119, 12]","['1c86e0eb', 0.02301, 99999, 7631]","['0b153874', 0.59349, 99999, 258]","['a73ee510', 0.89386, 99999, 3]","['3b08e48b', 0.21635, 99999, 11718]","['755e4a50', 0.0359, 99999, 3778]","['dfbb09fb', 0.02254, 96218, 41391]","['5978055e', 0.0359, 99999, 2810]","['b28479f6', 0.35516, 99999, 26]","['d345b1a0', 0.01266, 99999, 4981]","['84898b2a', 0.02254, 96218, 34829]","['e5ba7672', 0.45764, 99999, 10]","['e88ffc9d', 0.03786, 99999, 2422]","['21ddcdc9', 0.36183, 58655, 1256]","['b1252a9d', 0.20276, 58655, 3]","['0014c32a', 0.02254, 96218, 38655]","['ad3062eb', 0.11361, 21847, 12]","['32c7478e', 0.45223, 99999, 14]","['1793a828', 0.04971, 96218, 11530]","['001f3601', 0.16166, 58655, 52]","['49d68486', 0.03793, 58655, 8889]"
154,"[0.0, 378.0, 3.7434522926250184, 9.6517832304568003, 46087, 0.0, 1.0, 4.0, 16.0]","[-2, 11962, 109.70637706377063, 397.00068175918767, 0, 0.0, 3, 38.0, 547.09999999999127]","[0.0, 39806.0, 21.846033918929198, 168.27480329833969, 21105, 2.0, 6.0, 18.0, 80.0]","[0.0, 234.0, 7.3510041590883075, 8.7238085152547953, 21376, 2.0, 4.0, 10.0, 25.0]","[0.0, 1867923.0, 19253.727861059953, 72638.684418260629, 2806, 227.0, 2710.0, 10457.0, 66750.399999999383]","[0.0, 35721.0, 117.16898809833168, 356.36790939807668, 23035, 8.0, 32.0, 100.0, 478.0]","[0.0, 4472.0, 15.669866605383836, 65.107993956916488, 4268, 1.0, 3.0, 11.0, 61.0]","[0.0, 790.0, 12.529272270639677, 13.922627621093937, 58, 2.0, 7.0, 19.0, 42.0]","[0.0, 9124.0, 100.17236840730797, 218.24224426818077, 4268, 9.0, 35.0, 100.0, 410.0]","[0.0, 7.0, 0.64770366523223033, 0.68352866492140962, 46087, 0.0, 1.0, 1.0, 2.0]","[0.0, 128.0, 2.6131660590613279, 5.0974835877305456, 4268, 1.0, 1.0, 3.0, 10.0]","[0.0, 169.0, 0.83271969125670942, 4.462156581836358, 77456, 0.0, 0.0, 0.0, 3.0]","[0.0, 366.0, 8.287676634063823, 11.667675910915266, 21376, 2.0, 4.0, 10.0, 29.0]","['05db9164', 0.49969, 99999, 523]","['38a947a1', 0.11644, 99999, 503]","['d032c263', 0.02327, 96346, 44578]","['c18be181', 0.03713, 96346, 24629]","['25c83c98', 0.6685, 99999, 135]","['7e0ccccf', 0.4127, 86310, 10]","['1c86e0eb', 0.02391, 99999, 7671]","['0b153874', 0.59297, 99999, 245]","['a73ee510', 0.89356, 99999, 3]","['3b08e48b', 0.21678, 99999, 11510]","['755e4a50', 0.03682, 99999, 3780]","['dfbb09fb', 0.02327, 96346, 41350]","['5978055e', 0.03682, 99999, 2806]","['b28479f6', 0.35337, 99999, 26]","['2d0bb053', 0.01271, 99999, 5064]","['84898b2a', 0.02327, 96346, 34766]","['e5ba7672', 0.45961, 99999, 10]","['e88ffc9d', 0.03611, 99999, 2515]","['21ddcdc9', 0.365, 58687, 1251]","['5840adea', 0.20053, 58687, 3]","['0014c32a', 0.02327, 96346, 38649]","['ad3062eb', 0.11514, 22085, 10]","['32c7478e', 0.45189, 99999, 14]","['1793a828', 0.05327, 96346, 11638]","['001f3601', 0.15499, 58687, 51]","['49d68486', 0.03822, 58687, 8951]"
